[0, 36]
  k  
 [3, 72.2222222220216, {'Accuracy': 72.2222222220216, 'Precision': 71.999999999712, 'Specificity': 53.33333333297777, 'Recall': 85.71428571387756, 'F1': 78.26086956482752, 'Miss_Rate': 0.1428571428564626, 'Accuracy_Balance': 69.52380952342767, 'Mathew_Correlation': 0.41791069697885275, 'Matrix': (18, 7, 3, 8)}]
 [5, 61.11111111094135, {'Accuracy': 61.11111111094135, 'Precision': 63.999999999744006, 'Specificity': 39.99999999973333, 'Recall': 76.19047619011339, 'F1': 69.56521739095228, 'Miss_Rate': 0.23809523809410432, 'Accuracy_Balance': 58.09523809492336, 'Mathew_Correlation': 0.1732800450887926, 'Matrix': (16, 9, 5, 6)}]
 [7, 66.66666666648148, {'Accuracy': 66.66666666648148, 'Precision': 66.66666666641976, 'Specificity': 39.99999999973333, 'Recall': 85.71428571387756, 'F1': 74.99999999963829, 'Miss_Rate': 0.1428571428564626, 'Accuracy_Balance': 62.857142856805446, 'Mathew_Correlation': 0.29277002188455975, 'Matrix': (18, 9, 3, 6)}]
 [9, 58.33333333317129, {'Accuracy': 58.33333333317129, 'Precision': 60.714285714068886, 'Specificity': 26.666666666488887, 'Recall': 80.95238095199548, 'F1': 69.38775510170863, 'Miss_Rate': 0.19047619047528347, 'Accuracy_Balance': 53.80952380924218, 'Mathew_Correlation': 0.09035079029052505, 'Matrix': (17, 11, 4, 4)}]
 [11, 58.33333333317129, {'Accuracy': 58.33333333317129, 'Precision': 60.714285714068886, 'Specificity': 26.666666666488887, 'Recall': 80.95238095199548, 'F1': 69.38775510170863, 'Miss_Rate': 0.19047619047528347, 'Accuracy_Balance': 53.80952380924218, 'Mathew_Correlation': 0.09035079029052505, 'Matrix': (17, 11, 4, 4)}]
 [13, 58.33333333317129, {'Accuracy': 58.33333333317129, 'Precision': 60.714285714068886, 'Specificity': 26.666666666488887, 'Recall': 80.95238095199548, 'F1': 69.38775510170863, 'Miss_Rate': 0.19047619047528347, 'Accuracy_Balance': 53.80952380924218, 'Mathew_Correlation': 0.09035079029052505, 'Matrix': (17, 11, 4, 4)}]
 [15, 55.555555555401234, {'Accuracy': 55.555555555401234, 'Precision': 58.620689654970285, 'Specificity': 19.999999999866667, 'Recall': 80.95238095199548, 'F1': 67.9999999996793, 'Miss_Rate': 0.19047619047528347, 'Accuracy_Balance': 50.47619047593108, 'Mathew_Correlation': 0.0118636399791057, 'Matrix': (17, 12, 4, 3)}]
 [17, 55.555555555401234, {'Accuracy': 55.555555555401234, 'Precision': 58.620689654970285, 'Specificity': 19.999999999866667, 'Recall': 80.95238095199548, 'F1': 67.9999999996793, 'Miss_Rate': 0.19047619047528347, 'Accuracy_Balance': 50.47619047593108, 'Mathew_Correlation': 0.0118636399791057, 'Matrix': (17, 12, 4, 3)}]
 [19, 55.555555555401234, {'Accuracy': 55.555555555401234, 'Precision': 58.620689654970285, 'Specificity': 19.999999999866667, 'Recall': 80.95238095199548, 'F1': 67.9999999996793, 'Miss_Rate': 0.19047619047528347, 'Accuracy_Balance': 50.47619047593108, 'Mathew_Correlation': 0.0118636399791057, 'Matrix': (17, 12, 4, 3)}]
[222, 258]
 [1, 91.66666666641203, {'Accuracy': 91.66666666641203, 'Precision': 95.83333333293403, 'Specificity': 90.90909090826446, 'Recall': 91.99999999963201, 'F1': 93.87755101997502, 'Miss_Rate': 0.07999999999968001, 'Accuracy_Balance': 91.45454545394824, 'Mathew_Correlation': 0.810162722151319, 'Matrix': (23, 1, 2, 10)}]
 [3, 72.2222222220216, {'Accuracy': 72.2222222220216, 'Precision': 77.77777777748972, 'Specificity': 45.45454545413223, 'Recall': 83.99999999966401, 'F1': 80.7692307688702, 'Miss_Rate': 0.15999999999936002, 'Accuracy_Balance': 64.72727272689812, 'Mathew_Correlation': 0.31333978072025587, 'Matrix': (21, 6, 4, 5)}]
 [5, 74.99999999979167, {'Accuracy': 74.99999999979167, 'Precision': 74.99999999976562, 'Specificity': 27.27272727247934, 'Recall': 95.99999999961601, 'F1': 84.21052631544475, 'Miss_Rate': 0.039999999999840004, 'Accuracy_Balance': 61.636363636047676, 'Mathew_Correlation': 0.3411211461689762, 'Matrix': (24, 8, 1, 3)}]
 [7, 63.88888888871141, {'Accuracy': 63.88888888871141, 'Precision': 68.74999999978515, 'Specificity': 9.090909090826447, 'Recall': 87.999999999648, 'F1': 77.19298245582024, 'Miss_Rate': 0.11999999999952, 'Accuracy_Balance': 48.54545454523722, 'Mathew_Correlation': -0.042640143271122026, 'Matrix': (22, 10, 3, 1)}]
 [9, 69.44444444425154, {'Accuracy': 69.44444444425154, 'Precision': 71.8749999997754, 'Specificity': 18.181818181652893, 'Recall': 91.99999999963201, 'F1': 80.70175438563251, 'Miss_Rate': 0.07999999999968001, 'Accuracy_Balance': 55.090909090642455, 'Mathew_Correlation': 0.1492405014489271, 'Matrix': (23, 9, 2, 2)}]
 [11, 69.44444444425154, {'Accuracy': 69.44444444425154, 'Precision': 71.8749999997754, 'Specificity': 18.181818181652893, 'Recall': 91.99999999963201, 'F1': 80.70175438563251, 'Miss_Rate': 0.07999999999968001, 'Accuracy_Balance': 55.090909090642455, 'Mathew_Correlation': 0.1492405014489271, 'Matrix': (23, 9, 2, 2)}]
 [13, 66.66666666648148, {'Accuracy': 66.66666666648148, 'Precision': 69.69696969675849, 'Specificity': 9.090909090826447, 'Recall': 91.99999999963201, 'F1': 79.31034482726368, 'Miss_Rate': 0.07999999999968001, 'Accuracy_Balance': 50.54545454522923, 'Mathew_Correlation': 0.01818181818181815, 'Matrix': (23, 10, 2, 1)}]
 [15, 69.44444444425154, {'Accuracy': 69.44444444425154, 'Precision': 71.8749999997754, 'Specificity': 18.181818181652893, 'Recall': 91.99999999963201, 'F1': 80.70175438563251, 'Miss_Rate': 0.07999999999968001, 'Accuracy_Balance': 55.090909090642455, 'Mathew_Correlation': 0.1492405014489271, 'Matrix': (23, 9, 2, 2)}]
 [17, 69.44444444425154, {'Accuracy': 69.44444444425154, 'Precision': 71.8749999997754, 'Specificity': 18.181818181652893, 'Recall': 91.99999999963201, 'F1': 80.70175438563251, 'Miss_Rate': 0.07999999999968001, 'Accuracy_Balance': 55.090909090642455, 'Mathew_Correlation': 0.1492405014489271, 'Matrix': (23, 9, 2, 2)}]
 [19, 69.44444444425154, {'Accuracy': 69.44444444425154, 'Precision': 71.8749999997754, 'Specificity': 18.181818181652893, 'Recall': 91.99999999963201, 'F1': 80.70175438563251, 'Miss_Rate': 0.07999999999968001, 'Accuracy_Balance': 55.090909090642455, 'Mathew_Correlation': 0.1492405014489271, 'Matrix': (23, 9, 2, 2)}]
[259, 295]
 [1, 97.22222222195217, {'Accuracy': 97.22222222195217, 'Precision': 96.29629629593965, 'Specificity': 89.9999999991, 'Recall': 99.9999999996154, 'F1': 98.1132075467496, 'Miss_Rate': 0.0, 'Accuracy_Balance': 94.9999999993577, 'Mathew_Correlation': 0.930949336251262, 'Matrix': (26, 1, 0, 9)}]
 [3, 77.77777777756172, {'Accuracy': 77.77777777756172, 'Precision': 79.99999999973333, 'Specificity': 39.9999999996, 'Recall': 92.30769230733729, 'F1': 85.71428571392985, 'Miss_Rate': 0.07692307692278107, 'Accuracy_Balance': 66.15384615346865, 'Mathew_Correlation': 0.38829013735766, 'Matrix': (24, 6, 2, 4)}]
 [5, 80.55555555533178, {'Accuracy': 80.55555555533178, 'Precision': 78.78787878764003, 'Specificity': 29.9999999997, 'Recall': 99.9999999996154, 'F1': 88.13559321999094, 'Miss_Rate': 0.0, 'Accuracy_Balance': 64.9999999996577, 'Mathew_Correlation': 0.4861724348043968, 'Matrix': (26, 7, 0, 3)}]
 [7, 74.99999999979167, {'Accuracy': 74.99999999979167, 'Precision': 75.75757575734619, 'Specificity': 19.9999999998, 'Recall': 96.15384615347634, 'F1': 84.74576271152785, 'Miss_Rate': 0.03846153846139053, 'Accuracy_Balance': 58.07692307663817, 'Mathew_Correlation': 0.2617851572023675, 'Matrix': (25, 8, 1, 2)}]
 [9, 74.99999999979167, {'Accuracy': 74.99999999979167, 'Precision': 74.28571428550204, 'Specificity': 9.9999999999, 'Recall': 99.9999999996154, 'F1': 85.24590163901587, 'Miss_Rate': 0.0, 'Accuracy_Balance': 54.9999999997577, 'Mathew_Correlation': 0.27255405754769724, 'Matrix': (26, 9, 0, 1)}]
 [11, 72.2222222220216, {'Accuracy': 72.2222222220216, 'Precision': 72.2222222220216, 'Specificity': 0.0, 'Recall': 99.9999999996154, 'F1': 83.87096774161624, 'Miss_Rate': 0.0, 'Accuracy_Balance': 49.9999999998077, 'Mathew_Correlation': 0.0, 'Matrix': (26, 10, 0, 0)}]
 [13, 77.77777777756172, {'Accuracy': 77.77777777756172, 'Precision': 76.4705882350692, 'Specificity': 19.9999999998, 'Recall': 99.9999999996154, 'F1': 86.66666666632867, 'Miss_Rate': 0.0, 'Accuracy_Balance': 59.9999999997077, 'Mathew_Correlation': 0.39107694443752034, 'Matrix': (26, 8, 0, 2)}]
 [15, 77.77777777756172, {'Accuracy': 77.77777777756172, 'Precision': 76.4705882350692, 'Specificity': 19.9999999998, 'Recall': 99.9999999996154, 'F1': 86.66666666632867, 'Miss_Rate': 0.0, 'Accuracy_Balance': 59.9999999997077, 'Mathew_Correlation': 0.39107694443752034, 'Matrix': (26, 8, 0, 2)}]
 [17, 77.77777777756172, {'Accuracy': 77.77777777756172, 'Precision': 76.4705882350692, 'Specificity': 19.9999999998, 'Recall': 99.9999999996154, 'F1': 86.66666666632867, 'Miss_Rate': 0.0, 'Accuracy_Balance': 59.9999999997077, 'Mathew_Correlation': 0.39107694443752034, 'Matrix': (26, 8, 0, 2)}]
 [19, 77.77777777756172, {'Accuracy': 77.77777777756172, 'Precision': 76.4705882350692, 'Specificity': 19.9999999998, 'Recall': 99.9999999996154, 'F1': 86.66666666632867, 'Miss_Rate': 0.0, 'Accuracy_Balance': 59.9999999997077, 'Mathew_Correlation': 0.39107694443752034, 'Matrix': (26, 8, 0, 2)}]
